,Country,Continent_no,Continent,happiness_score,gdp_pc,emissions,emissions_pc,population,percepted_corruption,HALE
104,Latvia,2.0,Europe,5.94,1.187,6452.3,0.0028188291830493666,2289.0,0.064,63.0
56,El Salvador,5.0,South America,6.253,0.794,6397.34,0.0009460721679976339,6762.0,0.074,60.0
150,Panama,5.0,South America,6.321,1.149,5884.38,0.0017896532846715329,3288.0,0.054,66.0
101,Kyrgyzstan,2.0,Europe,5.261,0.551,5565.62,0.001058303860049439,5259.0,0.023,55.0
207,Uruguay,5.0,South America,6.293,1.124,5558.29,0.0016686550585409787,3331.0,0.15,66.0
190,Tajikistan,2.0,Europe,5.467,0.493,5235.86,0.0007885331325301205,6640.0,0.144,55.0
169,Senegal,3.0,Africa,4.681,0.45,5070.98,0.00042006129887342606,12072.0,0.072,48.0
67,Georgia,2.0,Europe,4.519,0.886,4785.18,0.0010794450710579744,4433.0,0.164,64.0
191,Tanzania,3.0,Africa,3.231,0.476,4671.6,0.00011839124154185357,39459.0,0.147,40.0
23,Botswana,3.0,Africa,3.488,1.041,4554.35,0.0024512109795479012,1858.0,0.1,36.0
7,Armenia,2.0,Europe,4.559,0.85,4345.5,0.001443687707641196,3010.0,0.064,61.0
139,Nicaragua,5.0,South America,6.105,0.694,3913.15,0.0007073662328271873,5532.0,0.127,61.0
152,Paraguay,5.0,South America,5.743,0.855,3876.51,0.0006443666888297873,6016.0,0.08,62.0
30,Cameroon,3.0,Africa,5.044,0.549,3715.3,0.00020441815680880332,18175.0,0.037,41.0
1,Albania,2.0,Europe,4.719,0.947,3499.12,0.0011031273644388398,3172.0,0.027,61.0
122,Mauritius,3.0,Africa,5.888,1.12,3407.52,0.0027216613418530352,1252.0,0.06,62.0
134,Nepal,7.0,South & Eastern Asia,4.913,0.446,3125.39,0.00011307080062226403,27641.0,0.089,52.0
114,Madagascar,3.0,Africa,3.933,0.274,2813.95,0.00014687353202150425,19159.0,0.041,49.0
18,Benin,3.0,Africa,4.883,0.393,2564.8,0.0002927853881278539,8760.0,0.082,44.0
132,Namibia,3.0,Africa,4.639,0.879,2553.81,0.0012475867122618465,2047.0,0.056,43.0
119,Malta,1.0,Eastern Mediterranean,6.726,1.3,2550.14,0.0062966419753086415,405.0,0.151,71.0
214,Zambia,3.0,Africa,4.107,0.578,2366.94,0.0002023717510259918,11696.0,0.087,35.0
202,Uganda,3.0,Africa,4.189,0.332,2308.32,7.720391986354059e-05,29899.0,0.06,43.0
81,Iceland,2.0,Europe,7.494,1.38,2183.74,0.007327986577181207,298.0,0.118,73.0
130,Mozambique,3.0,Africa,4.466,0.204,1879.63,8.962996519002432e-05,20971.0,0.138,37.0
76,Haiti,5.0,South America,3.597,0.323,1766.05,0.00018696273554943892,9446.0,0.11,44.0
121,Mauritania,3.0,Africa,4.49,0.57,1630.48,0.0005356373193166886,3044.0,0.088,45.0
65,Gabon,3.0,Africa,4.799,1.057,1502.24,0.0011458733790999237,1311.0,0.055,51.0
73,Guinea,3.0,Africa,4.534,0.38,1355.68,0.00014766147478488184,9181.0,0.086,45.0
194,Togo,3.0,Africa,4.085,0.275,1344.69,0.00020978003120124806,6410.0,0.085,45.0
140,Niger,3.0,Africa,4.628,0.138,1058.9,7.708378830894665e-05,13737.0,0.102,36.0
115,Malawi,3.0,Africa,3.41,0.191,992.94,7.31663105150689e-05,13571.0,0.089,35.0
185,Swaziland,3.0,Africa,4.212,0.811,956.3,0.0008432980599647266,1134.0,0.135,34.0
172,Sierra Leone,3.0,Africa,4.374,0.268,937.98,0.0001633257879157235,5743.0,0.045,29.0
27,Burkina Faso,3.0,Africa,4.587,0.331,743.79,5.1799568215056756e-05,14359.0,0.113,36.0
0,Afghanistan,1.0,Eastern Mediterranean,3.203,0.35,692.5,2.6544771542471634e-05,26088.0,0.025,36.0
161,Rwanda,3.0,Africa,3.334,0.359,604.56,6.387996618765849e-05,9464.0,0.411,38.0
177,Somalia,3.0,Africa,4.668,0.0,589.9,6.985198342214327e-05,8445.0,0.27,37.0
118,Mali,3.0,Africa,4.39,0.385,564.26,4.714739304812834e-05,11968.0,0.052,38.0
29,Cambodia,7.0,South & Eastern Asia,4.7,0.574,538.61,3.7938296823272526e-05,14197.0,0.062,48.0
107,Liberia,3.0,Africa,3.975,0.073,472.66,0.0001320648225761386,3579.0,0.033,35.0
20,Bhutan,7.0,South & Eastern Asia,5.082,0.813,414.03,0.0006379506933744222,649.0,0.167,53.0
66,Gambia,3.0,Africa,4.516,0.308,285.79,0.0001718520745640409,1663.0,0.167,50.0
33,Central African Republic,3.0,Africa,3.083,0.026,252.82,5.9277842907385697e-05,4265.0,0.035,37.0
28,Burundi,3.0,Africa,3.775,0.046,223.5,2.7346139728373913e-05,8173.0,0.18,35.0
34,Chad,3.0,Africa,4.35,0.35,139.23,1.330053496369889e-05,10468.0,0.078,41.0
38,Comoros,3.0,Africa,3.973,0.274,87.94,0.00010750611246943765,818.0,0.078,55.0
